Point,Force (N),Position (Microns)
267.0,0.1692,20485
268.0,0.1712,20487
269.0,0.1722,20489
270.0,0.1717,20491
271.0,0.1732,20493
272.0,0.1736,20491
273.0,0.1766,20500
274.0,0.1746,20501
275.0,0.1786,20500
276.0,0.1766,20502
277.0,0.1771,20506
278.0,0.1786,20507
279.0,0.01472,20508
